started_utc	ended_utc	label	exit_code	timing_basis	command
2026-08-18T17:35:46Z	2026-08-18T17:35:46Z	clone:qualiber	0	mtime_derived	git clone --no-checkout https://github.com/karkuak/qualiber.git clones/qualiber
2026-08-18T17:35:47Z	2026-08-18T17:35:47Z	clone:reality-lab	0	mtime_derived	git clone --no-checkout https://github.com/karkuak/qualiber-reality-lab.git clones/reality-lab
2026-08-18T17:38:22Z	2026-08-18T17:38:22Z	worktree:qualiber@d3ebf37	0	mtime_derived	git -C clones/qualiber worktree add --detach <WORK>/qualiber d3ebf37fc2cd5741c25eac22eaa20777153730ce
2026-08-18T17:37:50Z	2026-08-18T17:37:50Z	worktree:lab-deps@69ace16	0	mtime_derived	git -C clones/reality-lab worktree add --detach <WORK>/lab-deps 69ace16fb7ee021dddbcf3fa70e4295c2e5a400b
2026-08-18T17:36:06Z	2026-08-18T17:36:06Z	worktree:lab-evidence@3d2655f	0	mtime_derived	git -C clones/reality-lab worktree add --detach <WORK>/lab-evidence 3d2655f67ad14c16dd6148e4654cc0fa872cb4a4
2026-08-18T17:37:51Z	2026-08-18T17:37:51Z	lab:npm-ci	0	mtime_derived	npm ci   # in <WORK>/lab-deps
2026-08-18T17:38:03Z	2026-08-18T17:38:03Z	lab:build	0	mtime_derived	npm run build   # in <WORK>/lab-deps
2026-08-18T17:38:25Z	2026-08-18T17:38:25Z	qualiber:npm-ci	0	mtime_derived	npm ci   # in <WORK>/qualiber
2026-08-18T17:39:02Z	2026-08-18T17:39:02Z	qualiber:install-lab-packages	0	mtime_derived	npm --prefix adapters/erl2-subject run install:lab-packages -- --lab-checkout <WORK>/lab-deps
2026-08-18T17:58:53Z	2026-08-18T17:58:53Z	campaign:tooling-tests	0	mtime_derived	node compare-scenario.test.mjs --dependency-anchor <WORK>/qualiber/adapters/erl2-subject/package.json --retain-fixtures campaign/fixtures --result campaign/tooling-test-result.json
2026-08-18T17:59:37Z	2026-08-18T17:59:37Z	campaign:oracle-precommit-written	0	mtime_derived	write oracle-precommit.json  # sha256:b8f5fdb4786c1500d6d77454316c6e29a53d3cc51e3274ba0a425f1b30e62b69
2026-08-18T18:00:29Z	2026-08-18T18:00:37Z	qualiber:test-adapters(build+gate)	0	measured	env QUALIBER_ERL2_LAB_CHECKOUT=/private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-deps npm run test:adapters
2026-08-18T18:03:00Z	2026-08-18T18:03:00Z	QLB-EXT-001:scan-mounted-inputs	0	measured	node /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/campaign/oracle-absence-scan.mjs --label QLB-EXT-001/mounted-inputs --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-001/scans/scan-1-mounted-inputs.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/oracle-precommit.json --digest-source /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/execution-lock.json --expectation-path expectations/QLB-EXT-001.expected.json --expectation-path /private/tmp/qlb-wave1-prospective-cC4jCP/work/lab-evidence/docs/evidence/qualiber-product-scenarios-20260818/expectations/QLB-EXT-001.expected.json /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-001/input
2026-08-18T18:03:00Z	2026-08-18T18:03:01Z	QLB-EXT-001:plan-draft	0	measured	npm --prefix /private/tmp/qlb-wave1-prospective-cC4jCP/work/qualiber/adapters/erl2-subject run --silent plan:draft:validation -- --capture-stimulus /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-001/input/stimulus.json --contract-stimulus /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-001/input/contract.json --output /private/tmp/qlb-wave1-prospective-cC4jCP/work/scenarios/QLB-EXT-001/plan/plan-draft.generated.json
