started_utc	ended_utc	label	exit_code	command
2026-08-17T01:54:02Z	2026-08-17T01:54:02Z	coordinates:qualiber-status-open	0	git -C /Users/karthik/Claude/Projects/Qualiber status --porcelain=v1 -uall
2026-08-17T01:54:02Z	2026-08-17T01:54:02Z	coordinates:lab-status-open	0	git -C /Users/karthik/Developer/qualiber-reality-lab-tlo status --porcelain=v1 -uall
2026-08-17T01:54:53Z	2026-08-17T01:55:02Z	lab:build	0	npm run build
2026-08-17T01:55:59Z	2026-08-17T01:56:09Z	substrate:provision	0	node scripts/task-local-substrate.mjs provision /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/substrate-root /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/run-id.txt /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/substrate
2026-08-17T01:56:32Z	2026-08-17T01:56:32Z	qualiber:plan-draft	0	npm --prefix adapters/erl2-subject run plan:draft -- --endpoint /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/input/endpoint.json --output /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/plan/plan-draft.json
2026-08-17T01:56:48Z	2026-08-17T01:56:49Z	lab:declare-and-seal	0	npm run --silent erl2 -- declare-trusted-local-adapter --adapter-entry /Users/karthik/Claude/Projects/Qualiber/adapters/erl2-subject/dist/qualiber-erl2-subject.mjs --manifest /Users/karthik/Claude/Projects/Qualiber/adapters/erl2-subject/certification/adapter-manifest.v2.json --acknowledge-trusted-local-code I ACCEPT THAT THESE EXACT ADAPTER BYTES EXECUTE WITH MY LOCAL USER PERMISSIONS, ARE NOT SANDBOXED AND ARE NOT INDEPENDENTLY CERTIFIED, AND THAT THE RESULTS ARE DEVELOPMENT-ONLY, UNSCORED AND UNAUTHENTICATED --acknowledged-by repository owner (karthik), qualiber-reality-lab evidence-retention task 2026-08-16 --declaration-id qualiber-trusted-local-product-run-20260816 --output /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/declaration/declaration.json --source-repository qualiber --source-commit 6e7f5bbdbb70397922bd8fee923fcc2db321ead9 --source-tree 169e0aaaba6c0611cd33f16b3f57ccd3d6d170c6 --seal-plan-draft /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/plan/plan-draft.json --plan-output /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/plan/plan-sealed.json
2026-08-17T01:56:59Z	2026-08-17T01:57:01Z	lab:run-observation	0	npm run --silent erl2 -- run-trusted-local-observation --adapter-entry /Users/karthik/Claude/Projects/Qualiber/adapters/erl2-subject/dist/qualiber-erl2-subject.mjs --manifest /Users/karthik/Claude/Projects/Qualiber/adapters/erl2-subject/certification/adapter-manifest.v2.json --plan /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/plan/plan-sealed.json --owner-declaration /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/declaration/declaration.json --output-root /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/run-output --bind-input environment-endpoint-input=/private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/input/endpoint.json
2026-08-17T01:59:16Z	2026-08-17T01:59:17Z	verify:pre-publication	0	node scripts/task-local-verify.mjs /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/run-output/trusted-local-observation-record.json /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/run-output/observation-plan.json /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/run-output/registry /Users/karthik/Claude/Projects/Qualiber/adapters/erl2-subject/dist/qualiber-erl2-subject.mjs /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/run-output/inputs
2026-08-17T01:59:33Z	2026-08-17T01:59:36Z	substrate:destroy	0	node scripts/task-local-substrate.mjs destroy /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/substrate-root /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/run-id.txt /private/tmp/claude-502/-Users-karthik-Developer-qualiber-reality-lab/b52e0cbd-e48e-4d4b-aec2-31999b3f5916/scratchpad/tlrun-20260816/substrate
2026-08-17T02:00:09Z	2026-08-17T02:00:10Z	coordinates:qualiber-status-close	0	git -C /Users/karthik/Claude/Projects/Qualiber status --porcelain=v1 -uall
2026-08-17T02:00:10Z	2026-08-17T02:00:10Z	coordinates:lab-status-close	0	git -C /Users/karthik/Developer/qualiber-reality-lab-tlo status --porcelain=v1 -uall
2026-08-17T02:02:31Z	2026-08-17T02:02:32Z	bundle:build-index	0	node scripts/build-index.mjs /Users/karthik/Developer/qualiber-reality-lab-tlo/docs/evidence/.staging-qualiber-trusted-local-product-run-20260816
#	#	NOTE	#	The two remaining steps - rebuilding evidence-index.json over this file and renaming the staging directory to its published name - cannot appear above: a log that recorded its own hashing would change the bytes being hashed. Both are described in README.md. Every command recorded above exited 0.
