Preparing worktree (detached HEAD 25aea76)
negative controls: 147 of 147
worktree: /var/folders/gy/fgcsxyg95yxdym1qs1tvkzj80000gp/T/erl2-negative-control-kjbPvx/tree
installing dependencies in the worktree (once)…
  ✔ activate-connect-guard: 10 pass / 1 fail (expected fail, named_tests_failed)
  ✔ freeze-output-outstanding-step-guard: 10 pass / 1 fail (expected fail, named_tests_failed)
  ✔ step-order-guard: 11 pass / 1 fail (expected fail, named_tests_failed)
  ✔ durable-substrate: 5 pass / 18 fail (expected fail, named_tests_failed)
  ✔ adapter-mode-binding: 7 pass / 2 fail (expected fail, named_tests_failed)
  ✔ restore-receipt-status: 4 pass / 4 fail (expected fail, named_tests_failed)
  ✔ emergency-route: 5 pass / 3 fail (expected fail, named_tests_failed)
  ✔ subject-output-canary-scan: 11 pass / 1 fail (expected fail, named_tests_failed)
  ✔ environment-bundle-verifier: 10 pass / 7 fail (expected fail, named_tests_failed)
  ✔ baseline-repeatability: 12 pass / 0 fail (expected pass, no_kill_as_declared) — the fake driver is deterministic, so two probes agree by construction; kept for the Compose driver
  ✔ case-selected-comparisons: 21 pass / 0 fail (expected pass, no_kill_as_declared) — the producer builds pool entries from the admitted manifests, so they agree by construction
  ✔ run-identity-validation: 4 pass / 7 fail (expected fail, named_tests_failed)
  ✔ substrate-binding-validation: 9 pass / 3 fail (expected fail, named_tests_failed)
  ✔ substrate-locator-conflict: 10 pass / 2 fail (expected fail, named_tests_failed)
  ✔ pre-dispatch-intent: 3 pass / 4 fail (expected fail, named_tests_failed)
  ✔ intent-reconciliation: 5 pass / 2 fail (expected fail, named_tests_failed)
  ✔ frontier-action-derivation: 13 pass / 1 fail (expected fail, named_tests_failed)
  ✔ safe-action-completeness: 10 pass / 4 fail (expected fail, named_tests_failed)
  ✔ per-action-emergency-cleanup: 13 pass / 1 fail (expected fail, named_tests_failed)
  ✔ verifier-validity-derivation: 12 pass / 1 fail (expected fail, named_tests_failed)
  ✔ verifier-restoration-derivation: 12 pass / 1 fail (expected fail, named_tests_failed)
  ✔ verifier-teardown-derivation: 12 pass / 1 fail (expected fail, named_tests_failed)
  ✔ telemetry-gate-satisfaction: 27 pass / 14 fail (expected fail, named_tests_failed)
  ✔ telemetry-verifier-declared-requires-observation: 40 pass / 1 fail (expected fail, named_tests_failed)
  ✔ telemetry-verifier-count-derivation: 40 pass / 1 fail (expected fail, named_tests_failed)
  ✔ telemetry-verifier-attribution-floor: 40 pass / 1 fail (expected fail, named_tests_failed)
  ✔ telemetry-verifier-observation-cardinality: 40 pass / 1 fail (expected fail, named_tests_failed)
  ✔ telemetry-verifier-excerpt-fixed-point: 40 pass / 1 fail (expected fail, named_tests_failed)
  ✔ telemetry-driver-verified-collector: 27 pass / 1 fail / 1 skipped (expected fail, named_tests_failed)
